1,미정,나오하,40,61,54,65,1,16,풀,4,7,2,1
2,미정,나로테,61,80,63,83,16,36,풀,,,,1
3,미정,마스카나,76,110,70,123,36,101,풀,,,,1
4,미정,뜨아거,67,63,59,36,1,16,불꽃,,,,1
5,미정,악뜨거,81,90,78,49,16,36,불꽃,,,,1
6,미정,라우드본,104,110,100,66,36,101,불꽃,,,,1
7,미정,꾸왁스,55,65,45,50,1,16,물,,,,1
8,미정,아꾸왁,70,85,65,65,16,36,물,,,,1
9,미정,웨이니발,85,120,80,85,36,101,물,,,,1
10,미정,맛보돈,54,45,45,35,1,18,노말,,,,1
11,미정,퍼퓨돈,110,100,80,65,18,101,노말,,,,1
12,미정,타랜툴라,35,41,45,20,1,15,벌레,,,,1
13,미정,트래피더,60,79,92,35,15,101,벌레,,,,1
14,미정,콩알뚜기,33,46,40,45,1,24,벌레,,,,1
15,미정,엑스레그,71,102,78,92,24,101,벌레,,,,1
16,미정,통통코,35,35,55,50,1,18,풀,,,,1
17,미정,두코,55,45,65,80,18,27,풀,,,,1
18,미정,솜솜코,75,55,95,110,27,1,풀,,,,1
19,미정,화살꼬빈,45,50,43,62,1,17,노말,,,,1
20,미정,불화살빈,62,73,55,84,17,35,불꽃,,,,1
21,미정,파이어로,78,81,71,126,35,101,불꽃,,,,1
22,미정,빠모,45,50,25,60,1,18,전기,,,,1
23,미정,빠모트,60,75,40,85,18,101,전기,,,,1
24,미정,델빌,45,80,50,65,1,24,악,,,,1
25,미정,헬가,75,110,80,95,24,101,악,,,,1
26,미정,영구스,48,70,30,45,1,20,노말,,,,1
27,미정,형사구스,88,110,60,45,20,101,노말,,,,1
28,미정,탐리스,70,55,55,25,1,101,노말,,,,1
29,미정,요씽리스,120,95,95,20,1,101,노말,,,,1
30,미정,해너츠,30,30,30,30,1,101,풀,,,,1
31,미정,귀뚤뚜기,37,25,41,25,1,10,벌레,,,,1
32,미정,귀뚤톡크,77,85,51,65,10,101,벌레,,,,1
33,미정,분이벌레,38,35,40,35,1,9,벌레,,,,1
34,미정,분떠도리,45,27,60,29,9,12,벌레,,,,1
35,미정,비비용,80,90,50,89,12,101,벌레,,,,1
36,미정,세꿀버리,30,30,42,70,1,21,벌레,,,,1
37,미정,비퀸,70,80,102,40,21,101,벌레,,,,1
38,미정,파라꼬,38,47,35,57,1,18,비행,,,,1
39,미정,파크로우,68,67,55,77,18,38,비행,,,,1
40,미정,아머까오,98,87,105,67,38,101,비행,,,,1
41,미정,핑복,100,15,65,30,1,101,노말,,,,1
42,미정,럭키,250,35,105,50,1,101,노말,,,,1
43,미정,루리리,50,20,40,20,1,101,노말,,,,1
44,미정,마릴리,100,60,80,50,18,101,물,,,,1
45,미정,비구술,40,50,52,65,1,22,벌레,,,,1
46,미정,비나방,70,100,82,80,22,101,벌레,,,,1
47,미정,브이젤,55,65,35,85,1,26,물,,,,1
48,미정,플로젤,85,105,55,115,26,101,물,,,,1
49,미정,우파,55,45,45,15,1,20,독,,,,1
50,미정,토오,130,75,100,20,20,101,독,,,,1
51,미정,고라파덕,50,65,50,55,1,33,물,,,,1
52,미정,골덕,80,95,80,85,33,101,물,,,,1
